key,Country Name,Country Code,Year,"Labor force, female (% of total labor force)",Maternal leave benefits (% of wages paid in covered period),"Mortality rate attributed to household and ambient air pollution (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",People practicing open defecation (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),Poverty headcount ratio at national poverty line (% of population),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)"
9a543afa-d5b7-42ec-9add-ea3913acc521,Canada,CAN,2005,46.4192408180153,,,,0.0,99.23464422,99.80519484,78.8857635,,,6.46,7.01
7bda0f57-e3b5-4fc7-bf7c-d2d9209e59a2,Canada,CAN,2006,46.6740593393456,,,,0.0,99.23461957,99.75033789,79.28068911,,,6.09,6.52
72a8c54e-aab0-4b23-8f9d-bb6de7ba26d2,Canada,CAN,2007,46.8559603879221,,,,0.0,99.23549716,99.69595411,79.67517216,,,5.65,6.38
3deb762a-857f-40a0-a721-f33578eb346f,Canada,CAN,2008,46.8007942554184,,,,0.0,99.23607708,99.6414571,80.06894984,,,5.65,6.57
e6bd1fa5-feb5-4976-805d-2b70a92a740e,Canada,CAN,2009,47.0320471698496,40.0,,,0.0,99.23635504,99.5868457,80.46202275,,,7.01,9.53
73963532-79e6-400e-8913-dcd96b5ca159,Canada,CAN,2010,47.1342044913595,,,,0.0,99.23634886,99.53213067,80.85439848,,,7.23,8.79
f568b3dd-ae39-490e-8406-6c379cd03ad6,Canada,CAN,2011,47.092992876452,35.0,,,0.0,99.23589396,99.47721571,81.24600912,,,7.01,7.96
07fade71-8794-465b-ac1a-722077f52520,Canada,CAN,2012,47.2264634427111,,,,0.0,99.23432608,99.42171918,81.636549,,,6.82,7.71
eacfb1b9-f1a7-4423-abcc-46e7a22c821f,Canada,CAN,2013,47.3136274729582,37.0,,,0.0,99.23268617,99.36619078,82.02636889,,,6.6,7.5
f721f6d9-3422-4027-9ab7-b3a7553c5b2f,Canada,CAN,2014,47.1899157137796,,,,0.0,99.23098502,99.31064352,82.41547978,,,6.39,7.38
15cf2696-5d62-48f7-a922-4deebecae5ea,Canada,CAN,2015,47.0530941410076,55.0,,,0.0,99.22922139,99.25507123,82.80387768,,,6.29,7.46
68fdd54b-5505-45dd-a327-25f527aea3cc,Canada,CAN,2016,47.1730727072703,,7.0,0.4,0.0,99.22739547,99.19947682,83.1915656,,,6.24,7.68
1371b560-9411-4dd7-8c4c-7fb564552092,Canada,CAN,2017,47.2720671157327,55.0,,,0.0,99.22553764,99.14388406,83.5785755,,,5.85,6.78
ef639e5c-c5f3-4f17-8fe0-204ce74e3e91,Canada,CAN,2018,47.3633609013342,,,,0.0,99.22363119,99.08828896,83.97367373,,,5.49,6.14
a4f52be0-6dd8-4680-992c-d3a8126e2392,Canada,CAN,2019,47.2403161014984,,,,0.0,99.22164984,99.03268117,84.36813002,,,5.25,6.03
720f1412-092f-4c70-b354-31e531fb81c9,Canada,CAN,2020,,,,,0.0,99.22181066,99.03286158,84.36839322,,,,
31d0838a-5b90-4cc2-97eb-08fb8e63cab7,United States,USA,2005,45.7895841010875,,,,0.0,98.8536874,99.8817868,97.8283804,,,5.1,5.07
844c29a7-c637-4cfa-b5f4-242bb2e71d91,United States,USA,2006,45.7686889567768,,,,0.0,98.86083682,99.88154042,97.89264968,,,4.63,4.62
d8c81fe5-c003-4221-9c71-2ce827b3cd8b,United States,USA,2007,45.8278518391271,,,,0.0,98.86794461,99.88129549,97.95699817,,,4.5,4.73
3754de1e-abe4-4195-aa89-8269191ce7c6,United States,USA,2008,45.9726127208959,,,,0.0,98.87501291,99.8810546,98.02142764,,,5.42,6.1
2ce7e744-f83a-4ef7-9948-f888cb992340,United States,USA,2009,46.1763745407885,,,,0.0,98.88203953,99.88081511,98.08593485,,,8.06,10.28
5aa5d64c-4277-4555-bd0b-064a3dd594c6,United States,USA,2010,46.1839663657131,,,,0.0,98.97895208,99.86076619,98.13517396,,,8.61,10.51
af104c2e-2abd-4017-aaa1-bfb1e60644ca,United States,USA,2011,46.1151942879164,,,,0.0,99.07488707,99.84103269,98.18494766,,,8.46,9.37
b06889de-03a3-47a3-855b-47c63cd21fb6,United States,USA,2012,45.9403050128512,,,,0.0,99.16968809,99.82162867,98.2352578,,,7.89,8.22
041e0cb6-f8c7-4365-b9e6-75616da19213,United States,USA,2013,45.912403001954,,,,0.0,99.26337949,99.80256859,98.28612717,,,7.07,7.63
981d9128-74c9-4a26-8827-75d03704a217,United States,USA,2014,45.9645293051157,,,,0.0,99.35588121,99.78386084,98.33755989,,,6.06,6.26
196d014a-18a3-4f8b-bfd3-50202b3395dc,United States,USA,2015,45.8652664437359,,,,0.0,99.44715776,99.7655241,98.32452877,,,5.18,5.37
de7ddba0-a2c2-4e01-ad53-b07c33910bc3,United States,USA,2016,45.870842092589,,13.3,0.2,0.0,99.53713865,99.74755356,98.31176198,,,4.79,4.94
71fbe01c-dc11-42f3-ac7d-6039b4daaebd,United States,USA,2017,46.0255844715831,,,,0.0,99.62581578,99.72996764,98.29928582,,,4.31,4.4
f6f36289-3ed0-45bc-bfdf-5c2f9d55f571,United States,USA,2018,46.0599776445238,,,,0.0,99.71312112,99.71277377,98.28709462,,,3.84,3.95
ccdd1c44-7309-4bfe-9ec4-c2753fe511d3,United States,USA,2019,46.1636267893611,,,,0.0,99.79904438,99.69599445,98.27522266,,,3.61,3.72
0a92ba28-1edc-44e5-b0cc-ffd5432caf6a,United States,USA,2020,,,,,0.0,99.88352668,99.67961928,98.26364733,,,,
f7e7da0c-d886-480e-8c1a-47bb65c58176,Mexico,MEX,2005,35.4371888060852,,,,6.910224385,93.09668937,81.27377788,23.87717464,,,3.91,3.37
1a803a42-a452-4274-aaed-4f3d005a2209,Mexico,MEX,2006,36.0214059369911,,,,6.413280454,93.71099729,82.07830717,25.87350566,,,3.89,3.38
8ec600f5-069a-4840-9c59-52d347852602,Mexico,MEX,2007,36.309000319785,,,,5.923779375,94.32032157,82.87293106,27.90436423,,,4.0,3.42
e36e3a08-0060-4472-af38-9c4fe9616f19,Mexico,MEX,2008,36.3516317303069,,,,5.441312933,94.90809059,83.65830449,29.96951033,,,4.04,3.78
2094f268-5a6d-41af-a238-2c7dbe021628,Mexico,MEX,2009,36.8413046587202,100.0,,,4.966066408,95.36710258,84.43419231,32.0685671,,,5.35,5.36
2f308613-db10-4996-b35d-f6aab999e5b2,Mexico,MEX,2010,36.8175346220517,,,,4.497791888,95.82133427,85.20102819,34.20129298,,,5.18,5.37
d1f8814c-2016-437e-93e2-052ffb7bbed9,Mexico,MEX,2011,37.0775147742392,100.0,,,4.035972895,96.27120298,85.95971004,36.3676703,89.66001526,,5.13,5.19
aec0489c-4f85-4ee5-b9de-cea5e22326b8,Mexico,MEX,2012,37.564677356127,,,,3.58092129,96.71644433,86.70980432,38.56730401,89.68317442,,4.88,4.89
3491c703-497e-42b0-9af3-cda80536fe76,Mexico,MEX,2013,37.704092951183,100.0,,,3.132406947,97.15725463,87.45178303,40.80011597,89.70633655,,4.96,4.89
b8f9bda7-d3d8-42cd-bd1a-67cd435fa353,Mexico,MEX,2014,37.2437515782207,,,,2.69042959,97.5936259,88.18573213,43.06591674,89.72949429,,4.85,4.79
aa3a887a-605d-4717-b45f-24e7d8bfc361,Mexico,MEX,2015,37.4797332378036,100.0,,,2.255108509,98.02544354,88.91148404,45.36435171,89.75249473,,4.45,4.23
14df99a4-debe-4aa2-affb-29447a18e210,Mexico,MEX,2016,37.5732614175485,,36.7,1.1,1.826280678,98.45286453,89.62944687,47.69541008,89.77550185,,3.91,3.83
41eb123f-686a-4e38-812b-3914f065a30c,Mexico,MEX,2017,37.4090985794429,100.0,,,1.404019929,98.87578129,90.33947554,50.0587208,89.79834169,,3.6,3.31
a12627c5-92c9-492b-b42b-dc82422f6b68,Mexico,MEX,2018,37.6997912501247,,,,0.988233853,99.26913243,91.04184497,52.45421467,89.82111114,41.9,3.43,3.2
e654ed7e-04f7-49da-bb16-46ab76093852,Mexico,MEX,2019,38.4887399422183,,,,0.351365143,99.47726394,91.73666093,54.88172246,89.84379235,,3.52,3.46
421628f3-3ccc-46dd-9f0b-22b00491c819,Mexico,MEX,2020,,,,,0.096456614,99.67956828,92.42406261,57.34110284,,43.9,,
d2184321-dc56-4c03-bf26-7714d59d7e0d,India,IND,2005,26.4272952565779,,,,58.84314476,83.13360985,28.4835452,15.3211176,,,5.73,5.62
ac780cf7-2942-4add-ab4a-008d4379992d,India,IND,2006,25.7427509698065,,,,55.82200891,83.65179214,31.24230559,17.27038835,,,5.6,5.5
05d6645b-27f3-49fc-a8fa-7b62680fc7a2,India,IND,2007,25.0610008044338,,,,52.8141007,84.16605196,34.01546073,19.28393109,,,5.52,5.37
2c11ecfa-e79b-4d2a-99aa-9c45cd86bd50,India,IND,2008,24.3762267041032,,,,49.81961911,84.67634135,36.80268608,21.30680318,,,5.17,5.42
d2a4d174-1c65-4824-99db-0c7b0df203cd,India,IND,2009,23.7039679408326,100.0,,,46.83967414,85.18237554,39.60301534,23.3386407,,29.8,5.67,5.59
fbfbf0fe-1706-4181-b9c0-d64de931e7df,India,IND,2010,23.0325374212125,,,,43.87389884,85.68425222,42.41651879,25.37938816,66.89906807,,5.82,5.6
4768c051-ae35-41a0-9899-25fccb81e9da,India,IND,2011,22.1179774737095,100.0,,,40.92201617,86.18204472,45.24319673,27.42892062,66.97611902,21.9,5.66,5.64
f4846035-91b2-4c78-b39b-684ed7c143aa,India,IND,2012,21.226767224382,,,,37.98070296,86.67656079,48.08510146,29.48719818,67.05584145,,5.6,5.67
82a69d10-0f9a-46a4-80b8-cb850144fb62,India,IND,2013,21.018796083835,100.0,,,35.05112452,87.16750039,50.94117568,31.55352208,67.1380113,,5.63,5.67
8cfd2a8d-402e-49d8-99fd-4c0bf3f73c9e,India,IND,2014,20.8254758243353,,,,32.13366505,87.65476481,53.81088813,33.62723216,67.22285792,,5.63,5.6
3c535651-9b6f-402a-be1b-a3bcf64038c3,India,IND,2015,20.6521225457954,100.0,,,29.22911238,88.13813263,56.69339984,35.70761814,67.31037222,,5.6,5.55
2502a13e-f744-432e-9537-1a5cad445022,India,IND,2016,20.4900674784396,,184.3,18.6,26.3382637,88.61740577,59.58787271,37.79397393,67.40056273,,5.54,5.5
c3103ac3-48c8-4e1a-b233-aaf4e4e6a33d,India,IND,2017,20.3433928429162,100.0,,,23.46163252,89.09243315,62.49361923,39.88551213,67.49364379,,5.4,5.42
065b70c2-9a27-4f81-93c7-b3889c313f0e,India,IND,2018,20.2092081358004,,,,20.60033711,89.56293708,65.40956223,41.89591302,67.58940082,,5.3,5.34
869e54ff-b955-4725-a35d-94e1c08036b8,India,IND,2019,20.3170915103221,,,,17.75516918,90.02869896,68.33481002,43.90429017,67.68782584,,5.21,5.28
be94e113-3c5e-4c8e-84b3-1fcbca1d9e2b,India,IND,2020,,,,,14.9269267,90.48952503,71.26847596,45.90965899,67.78892869,,,
479b0721-8223-49a6-965c-c5315bee9efa,China,CHN,2005,44.634333098471,,,,1.784571234,84.57435729,66.05295978,21.15726769,,30.2,3.91,4.98
b2495fa3-e5ae-493c-a12f-da8e9084318b,China,CHN,2006,44.5234908680654,,,,1.639913195,85.43458456,68.04807496,23.71607541,,,3.82,4.87
25670f62-1e61-4ca5-ada9-8cd4f35009bf,China,CHN,2007,44.4166186385106,,,,1.51021407,86.26131924,70.00602318,26.41296376,,,3.73,4.76
81dc6b3b-4981-475a-9658-f77aea9d2225,China,CHN,2008,44.3052600421357,,,,1.385771621,87.06001859,71.93309059,29.25110684,,,3.99,5.09
9aa30440-1430-4af3-9bcb-1b3c9ab4297c,China,CHN,2009,44.1980701221571,100.0,,,1.266814857,87.82894559,73.82713823,32.22411192,,,4.08,5.2
b3af6ede-d6dc-455e-9503-c65f643b9703,China,CHN,2010,44.079056138679,,,,1.153266004,88.56889093,75.68896974,35.32940402,,17.2,3.9,4.97
12c90b73-f32a-4f65-aa17-adad57999520,China,CHN,2011,44.0388557387038,100.0,,,1.046346738,89.26848693,77.50550515,38.5387437,,12.7,3.9,4.97
32dc81ea-5f80-4bd8-8db7-205e0780e361,China,CHN,2012,44.0030274254272,,,,0.945203269,89.93455887,79.28464962,41.85739972,,10.2,3.99,5.08
aaa20548-51b6-4080-980f-95f365d99319,China,CHN,2013,43.9784050810505,100.0,,,0.84929552,90.57190917,81.03184692,45.29026847,,8.5,3.99,5.08
6172211f-abce-4524-9d54-41d5352a555c,China,CHN,2014,43.9577737295404,,,,0.758538313,91.1813536,82.74794313,48.83494578,,7.2,3.99,5.08
70bdd1de-d5b3-43eb-ac74-0dab83a8f4dd,China,CHN,2015,43.9206950733809,100.0,,,0.672948193,91.76264123,84.43258668,52.48634689,,5.7,3.99,5.08
0f18d434-ab4e-46c0-b8ca-afcce09bb1f1,China,CHN,2016,43.8687871268888,,112.7,0.6,0.592493964,92.31599823,86.08596623,56.24054077,,4.5,3.9,4.97
f891502c-245c-4526-bb5a-f522745495ce,China,CHN,2017,43.7997291504281,100.0,,,0.517184618,92.84090791,87.70748822,60.09072637,,3.1,3.81,4.86
9d5c5c31-853b-43b5-b84b-9c88b1511f5f,China,CHN,2018,43.7188298389775,,,,0.447021569,93.33588436,89.29564155,64.02449293,,1.7,3.72,4.75
83d63fa5-c76b-4424-9c9c-50c6a430e60d,China,CHN,2019,43.6343552840813,,,,0.381815138,93.81326727,90.85138344,68.03605785,,0.6,3.98,5.08
62995050-2e1a-47e0-a457-9475debbbe1a,China,CHN,2020,,,,,0.321344479,94.26111059,92.37617808,69.65580705,,,,
43bd91c8-d748-437b-8fc8-845b41d8a731,Sudan,SDN,2005,28.0810242114772,,,,48.6642753,44.87897118,21.851755,,,,20.17,13.38
0d5c1fc7-15f2-4335-b114-0601acb3b7e1,Sudan,SDN,2006,28.1997525021456,,,,46.48027632,46.27477401,23.04947143,,,,19.94,13.16
f38d07b8-857b-46b4-9ec8-b86947258ddd,Sudan,SDN,2007,28.3532654228712,,,,44.29676902,47.67022906,24.32960216,,,,19.73,12.97
bc9645fb-8ec4-4417-b688-f3e326e512eb,Sudan,SDN,2008,28.5244638264101,,,,42.11374499,49.06532779,25.61760468,,26.50096308,,19.59,12.89
0da37e63-b849-42b0-85e4-ba3e64eece7c,Sudan,SDN,2009,28.6948351020105,100.0,,,39.92328587,50.46498406,26.92019313,,26.50096308,46.5,22.97,8.99
e2a39ec1-7079-4592-b3a5-454dc87bb5be,Sudan,SDN,2010,28.8600101293881,,,,37.72530672,51.86921343,28.2380466,,26.50096308,,26.77,10.47
2264d782-abbd-4c2d-954b-daaa77d5384d,Sudan,SDN,2011,28.9684404265141,100.0,,,35.52011036,53.27779729,29.57154861,,26.50096308,,30.3,12.2
acd5e466-90f3-486c-a5ab-7fafb3e8d655,Sudan,SDN,2012,29.1388395326424,,,,33.30836507,54.69029824,30.92075809,,26.50096308,,29.78,12.39
a013c405-d5a0-4a79-b756-75934ab8ee74,Sudan,SDN,2013,29.318657938713,100.0,,,31.08999761,56.10671964,32.2863937,,24.75225407,,30.42,12.1
9a5926a1-262f-4b15-b72a-8ad30f28f5cc,Sudan,SDN,2014,29.5108766836389,,,,28.86567187,57.52663359,33.668519,,23.00354506,,30.27,11.96
e883151b-1031-49fe-a053-c4db355b5fa8,Sudan,SDN,2015,29.717825153223,100.0,,,26.63497315,58.95025332,35.06823567,,21.25483605,,30.0,11.91
b860d4db-0a75-4733-bbeb-0f1d18ebea5f,Sudan,SDN,2016,29.9174939219061,,184.9,17.3,24.3985633,60.215884,36.48562577,,19.50612704,,29.83,11.79
9f9b8929-087c-4d5f-86ba-f2398df5a55f,Sudan,SDN,2017,30.1338369408406,100.0,,,24.31262403,60.26709096,36.57503214,,17.75741802,,29.47,11.66
9c581f17-54da-42d6-a3f0-91a983a98dbe,Sudan,SDN,2018,30.353788802243,,,,24.21874436,60.32302546,36.67269614,,16.00870901,,29.05,11.56
20cf74bb-fd46-4b58-a7a8-bf942fdf0dbf,Sudan,SDN,2019,30.5756382475899,,,,24.11727297,60.38348683,36.77826091,,14.26,,28.82,11.44
9a730040-5e67-4d55-b593-f6271d2ec5f9,Sudan,SDN,2020,,,,,24.00786171,60.4486756,36.89208291,,12.51129099,,,
62949e86-535a-415f-9d4e-89d55f0d86e8,Bangladesh,BGD,2005,23.5454439506139,,,,11.81975742,95.59186057,31.19445716,23.07214054,19.9605258,40.0,7.09,3.38
a0c555dd-0588-42b8-874d-304768cf205e,Bangladesh,BGD,2006,23.7404044423922,,,,10.85529088,95.76021655,32.75983902,24.14787637,20.18406256,,6.49,2.69
aaf50385-94c0-449b-bbe9-554a3f10ac2a,Bangladesh,BGD,2007,24.2552418809083,,,,9.901515171,95.92502197,34.32547217,25.22124717,20.41138896,,6.64,3.03
c65a97f6-5299-4f8f-b928-139d378bd6a2,Bangladesh,BGD,2008,24.7879547112572,,,,8.958818692,96.0861324,35.89006951,26.29209359,20.64218633,,6.78,3.47
57a1d91e-4336-4d06-9381-3a4e8f53df58,Bangladesh,BGD,2009,25.3144889133951,100.0,,,8.027558194,96.24343833,37.45237978,27.35956418,20.87614236,,7.39,4.19
15c18c18-573c-43b5-a4b3-9fdc66be7692,Bangladesh,BGD,2010,25.8302897833252,,,,7.107841592,96.39688709,39.0115438,28.42291983,24.42005025,31.5,4.44,3.01
eb4c60d3-894e-42c2-a673-0e923c8d1e69,Bangladesh,BGD,2011,26.3206830737094,100.0,,,6.200095368,96.54632933,40.56613749,29.48124444,27.93989766,,5.41,3.1
62421c08-d063-4ee9-bf30-0d64faf9845e,Bangladesh,BGD,2012,26.807544536652,,,,5.30484137,96.69158904,42.1145323,30.533663,31.43384069,,6.45,3.18
482356fb-1eb0-41a9-8fe1-dec052b197ef,Bangladesh,BGD,2013,27.2885859004405,100.0,,,4.422388071,96.83255493,43.65543619,31.57950162,34.90063361,,7.61,3.23
f6fd4d88-55ad-426a-938c-e9d8c57a57ae,Bangladesh,BGD,2014,27.7669506423153,,,,3.552648541,96.96925348,45.18826042,32.6181748,38.34090253,,7.51,3.2
50a9dcd1-6d49-4185-9712-0090f7df4ae1,Bangladesh,BGD,2015,28.2609109307921,100.0,,,2.695839017,97.10160247,46.71185422,33.64912089,41.75359784,,7.46,3.17
617e5f71-f15b-4ee2-8bb8-935d219ea283,Bangladesh,BGD,2016,28.7483919951209,,149.0,11.9,1.851918354,97.22961308,48.22553857,34.67175069,45.13910117,24.3,7.38,3.13
5ec8bc94-d005-4f0a-a405-b3888efadf73,Bangladesh,BGD,2017,30.1741541262327,100.0,,,1.020961285,97.35325339,49.72841199,35.68556584,48.49695897,,6.75,3.35
99e2b04c-16aa-4a86-b653-35bb920d64e9,Bangladesh,BGD,2018,30.3646221202286,,,,0.220962759,97.47252486,51.21970677,36.69010606,51.82701989,,6.65,3.26
088cc0ba-d452-421e-b0cf-e61925388f12,Bangladesh,BGD,2019,30.5146514585723,,,,0.0,97.58742193,52.69870337,37.68488358,55.12933108,,6.55,3.2
d5cff63a-e0b9-4d42-8047-ecb6eaf1baa6,Bangladesh,BGD,2020,,,,,0.0,97.69796025,54.16469553,38.66941874,58.40395427,,,
740b131e-b33f-4952-b53f-b0d85b9fe654,Brazil,BRA,2005,42.4410877176657,,,,6.342684651,95.08413702,77.56479232,37.82821516,,,12.54,7.38
98ef6cd1-1cc1-4667-aa79-117326630658,Brazil,BRA,2006,42.4941519369606,,,,5.862148476,95.38418309,78.43290643,38.23827901,,,11.38,6.62
5a241f37-b25f-4629-a631-3d1826df116c,Brazil,BRA,2007,42.5140884448877,,,,5.391408152,95.67762486,79.29597638,38.64646748,,,11.14,6.25
0c354ecc-13dc-4ea3-af75-38bbe91084b5,Brazil,BRA,2008,42.4562085874498,,,,4.930287589,95.96456826,80.1540827,39.0528122,,,9.95,5.42
39f3ecec-5866-4af2-bb93-84e139188797,Brazil,BRA,2009,42.6991375300611,100.0,,,4.478986499,96.24479886,81.00652682,39.4570433,,,11.37,6.4
9a6509ff-2ba4-4346-91c6-38969e48c25d,Brazil,BRA,2010,42.3505825740257,,,,4.03690021,96.51879691,81.85420444,39.85950934,,,10.6,5.62
d05694bd-8a08-4c5b-b1e9-87501f6f2fe0,Brazil,BRA,2011,41.9941306870324,100.0,,,3.602450642,96.78798047,82.70058102,40.26155659,,,9.44,5.09
14617ccb-9bf0-44d0-92f7-28a6394933b7,Brazil,BRA,2012,42.2663358901447,,,,3.17713097,97.05098,83.54222598,41.15432283,,,9.06,5.81
8691f213-c1e8-43db-9407-1ad29140eb4c,Brazil,BRA,2013,42.2856854255993,100.0,,,2.761021379,97.30767638,84.37851825,42.06269659,,,8.77,5.66
695e1f15-1965-49d1-adcc-e67c121b81fe,Brazil,BRA,2014,42.3803816005821,,,,2.353523133,97.55858195,85.21064211,42.98721103,,,8.11,5.59
d7566786-083a-4b6e-b2e5-41ad08857517,Brazil,BRA,2015,42.7181210563841,100.0,,,1.954703743,97.80356759,86.03796198,43.92766119,,,10.06,7.21
eb7e781d-6a6d-4e4c-8fcd-b8a062327c74,Brazil,BRA,2016,42.8662844858292,,29.9,1.0,1.564429024,97.95583878,86.86024254,44.88398291,,,13.46,10.21
52f596f9-7b6e-477d-a2e8-7f71fcdb391f,Brazil,BRA,2017,43.3808033130049,100.0,,,1.182369726,98.45095466,87.67795802,45.85641823,,,14.72,11.37
fb68137f-ee80-4583-a523-1074ef34699c,Brazil,BRA,2018,43.5782017511267,,,,0.8084186,98.67949474,88.49054496,46.84473257,,,14.23,10.87
5e8977c3-afa3-455c-9464-890999ca434b,Brazil,BRA,2019,43.8971083140861,,,,0.521852723,98.93554441,89.29879625,47.8493132,,,14.14,10.2
2bdfd68e-509d-4959-9d84-344b0b9e4894,Brazil,BRA,2020,,,,,0.30412818,99.32085299,90.07847103,48.706315,,,,
663d4efd-a68a-410d-a60f-4958d9b5551f,Niger,NER,2005,44.3801626038103,,,,78.4450149,40.55557252,7.901511602,9.256826745,7.123087085,,2.71,3.41
51087ed6-5573-497d-98e2-c5bb5de3515f,Niger,NER,2006,44.2686171194562,,,,77.77598644,41.19079367,8.401596097,9.814903939,8.208276197,,2.01,2.59
93f62ce0-95c3-4068-8cd2-5e798439dcc4,Niger,NER,2007,44.1746803779405,,,,77.10694127,41.79385248,8.8936197,10.3579956,9.293510821,,1.47,1.89
b450e3a5-9a8a-4e95-b768-2b8e190b298a,Niger,NER,2008,44.0822217430299,,,,76.43858532,42.36417612,9.377293422,10.8858509,10.37854224,,1.06,1.34
6c806ab9-47b6-449d-9552-ad8af2204d5d,Niger,NER,2009,43.9961728339325,100.0,,,75.76950653,42.90290208,9.853170088,11.39895417,11.46387169,,0.76,1.03
392ffbb1-b9b2-4ea2-953a-24307a0aaebd,Niger,NER,2010,43.9175191605916,,,,75.1004118,43.40945251,10.32097412,11.897061,12.54924695,,0.5,0.64
67311b3c-d3b4-41ca-bb27-147881297881,Niger,NER,2011,43.8082366129629,100.0,,,74.43200214,43.88328257,10.78038007,12.37990497,13.63443537,,0.22,0.39
cfe30780-5aa7-4a2e-82d3-186a6c1bc301,Niger,NER,2012,43.3538294272219,,,,73.7628785,44.32547436,11.23201288,12.84800105,14.7199067,,3.16,1.43
497c4ff2-a998-4c55-95c0-53da212776b5,Niger,NER,2013,42.9439388932114,100.0,,,73.09373673,44.73547334,11.67555994,13.30108842,15.80542286,,1.41,1.08
2fddc384-b342-4715-8d96-1d1eca5f9ddf,Niger,NER,2014,42.612332210648,,,,72.41421008,45.12092359,12.11638501,13.74334085,16.89419928,,0.43,0.6
216cb010-4835-4fbc-8d66-9436f5aaa329,Niger,NER,2015,42.5659713370639,100.0,,,71.72301152,45.48245806,12.55582982,14.1756123,17.98640113,,0.42,0.59
880989ac-60ac-4584-b490-f37efc855c3d,Niger,NER,2016,42.5297111941842,,251.8,70.8,71.02160644,45.8187016,12.99383525,14.59767048,19.08133442,,0.4,0.58
987a3397-296b-4ec2-a2ef-76647f1737b8,Niger,NER,2017,42.4892124944657,100.0,,,70.30871964,46.13032846,13.43185924,15.01045325,20.17914189,,0.39,0.57
8aa11a74-4a13-4a9c-b70c-9b25cc678a2f,Niger,NER,2018,42.4682311714103,,,,69.58580949,46.41606758,13.86985027,15.41375964,21.2791514,40.8,0.38,0.54
5e69ed86-6dc3-49cb-8761-0529cbdf86b7,Niger,NER,2019,42.4501655842474,,,,68.85160297,46.6766358,14.30938558,15.80861376,22.38148248,,0.37,0.53
e3e5a436-7a1d-49b9-8fa8-0185f5e20fe5,Niger,NER,2020,,,,,68.10619172,46.91179747,14.75130566,16.18740843,23.48584637,,,
